år,region,inkomst,arbetslösa,befolkning,arbetslöshet,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljöpartiet,Socialdemokraterna,Vänsterpartiet,Sverigedemokraterna,övriga partier
2002,Upplands Väsby,166.6,649,37444,1.733254994,18.7,2.4,16.4,8.3,4.5,38.8,8.3,1.1,1.5
2002,Vallentuna,161.6,200,25905,0.7720517275,22.3,4.5,19.2,11.2,5.7,29.7,5.5,1.2,0.8
2002,Österåker,168.6,369,35633,1.035556928,24,2.6,19.7,9.8,4.9,31.7,5.6,0.8,0.9
2002,Värmdö,162.3,344,32664,1.053147196,24.2,2.5,18.1,8.7,5.6,32.4,7,0.8,0.7
2002,Järfälla,174.9,744,61290,1.213901126,18.6,2,18.3,9.3,4.7,37.2,7.8,1.3,0.9
2002,Ekerö,174.2,205,22936,0.8937914196,26.1,3.8,20.4,10.5,6.4,25.8,5.2,0.8,1
2002,Huddinge,159.1,1077,86457,1.245705958,19.5,1.9,17,8.1,4.7,37.3,8.3,1.7,1.5
2002,Botkyrka,135.5,1439,75216,1.913156775,13.8,1.6,14.3,9.6,4.7,43.1,10.3,1.2,1.4
2002,Salem,164.8,132,13875,0.9513513514,19.8,2.2,18.5,9.5,5,36.2,6,1.6,1.1
2002,Haninge,153.3,1012,70902,1.427322219,16.1,2,14.7,8.1,5,42,9,0.9,2.3
2002,Tyresö,168.3,434,39720,1.09264854,21.8,2,18.4,7.8,4.9,35.2,7.2,1,1.6
2002,Upplands-Bro,156.2,164,21162,0.77497401,18,2.8,15.5,10.9,3.8,39.4,7.9,0.8,0.9
2002,Nykvarn,162.1,44,8204,0.5363237445,17.6,4.8,14,8.2,4.2,42.9,5.2,1.9,1.2
2002,Täby,210.5,601,60198,0.9983720389,35.1,2,25.3,9.6,3.6,19.5,3.4,0.9,0.6
2002,Danderyd,256.6,215,29755,0.7225676357,45.1,1.9,24.7,10.7,3.2,11.2,2.1,0.5,0.7
2002,Sollentuna,188.9,672,58515,1.148423481,24.5,2.5,21.5,9.9,4.7,29.2,5.9,1,0.6
2002,Stockholm,179.5,13704,758148,1.807562639,21,1.8,19.5,6.6,6.8,31.4,10.9,1,1
2002,Södertälje,145.4,1193,79613,1.498498989,14.5,3.4,12.9,9.7,6,42.3,7.5,0.7,3.1
2002,Nacka,187.2,824,76624,1.075381082,27.4,1.7,22,7.9,5.4,26.9,6.9,0.9,0.9
2002,Sundbyberg,176,572,33797,1.69245791,19.2,2,17.2,6.4,5.6,37.3,9.7,1.5,1.1
2002,Solna,179.7,745,57585,1.293739689,21.8,1.8,19.4,6.9,5.5,33.3,9.3,0.9,1.1
